title|composer|chrds|prnt|mp3|rank|year|rb|nrb|srb|aebersold|irb|irbg|
Clair De Lune|||||||""|||||y|
Claudine|||||||""|||||y|
Close Enough For Love|Mandel-Williams||||847|1979|"3_54"||y||y||
Close Your Eyes|Bernice Petkere||||298|1933|"2"|3||094,|y||
Clouds|||||||""|||||y|
Cocktail Swing|||||||""|||||y|
Cocktails For Two|||||585|1934|""||||||
Colors Of Chloe|||||||"1_82"||||||
Come Fly With Me|Jimmy Van-Heusen||||||""||||y||
Come Rain Or Come Shine|Harold Arlen||||51|1946|"2_63"|||025,|y||
Come Sunday|Duke Ellington||||151|1943|"1_88"|1|||y||
Comes Love|Lew Brown||||802|1939|""||||y||
Comin' Home Baby|||||||"2_64"||||||
Como En Vietnam|||||||"1_86"||||||
Como Una Flor|||||||""|||||y|
Compensation|||||||"3_55"||||||
Con Alma|Dizzy Gillespie||||301|1956|"1_89"||||y||
Conception|George Shearing||||868|1950|"1_90"||||y||
Conference Of The Birds|Dave Holland||||||"1_91"||||y||
Confessin (That I Love You)|||||||"2_65"||||||
Confessin' (That I Love You)|Daugherty-Neiberg-Reynolds||||||""||||y||
Confirmation|Charlie Parker||||218|1953|"1_92"|||i,006,020,028,065,068,069,|y||
Contemplation|McCoy Tyner||||||"1_3"||||y||
Continental, The|||||906|1934|""||y|||y|
Continuum|Jaco Pastorius||||||""||||y||
Cookin'|||||||"2_66"||||||
Cool Blues|||||||"2_64"||||||
Cool Eyes|||||||"3_56"||||||
Cool One, The|Benny Golson||||||""||||y||
Copenhagen|Davis-Melrose||||||""||||y||
Coquette|||||407|1928|""|||||y|
Coral|Keith Jarrett||||||"1_93"||||y||
Corcovado|Antonio-Carlos Jobim||||382|1962|"1_94"|||031,098,|y||
Core, The|||||||"2_66"||||||
Cork "n" Bib|||||||"2_70"||||||
Cottage For Sale|Willard Robison||||840|1930|""||||y||
Cottontail|Duke Ellington||||233|1940|"1_95"||y|048,|y||
Coucou|||||||""|||||y|
Could It Be You|Cole Porter||||||"1_96"||||y||
Countdown|John Coltrane||||||"1_97"||||y||
Country|Keith Jarrett||||||""||||y||
Country Roads|||||||"1_98"||||||
Cousin Mary|John Coltrane||||||"2_62"||||y||
Crabfeathers|||||||"1_365"||||||
Crazeology|||||||"2_67"||||||
Crazy He Calls Me|Carl Sigman||||388|1949|"3"||y||y||
Crazy Rhythm|Wolfe-Kahn-Meyer||||260|1928|""||y|094,|y||
Creole Love Call, The|Duke Ellington||||953|1928|"3"||||y||
Crepuscule|||||||""|||||y|
Crepuscule With Nellie|Thelonious Monk||||||""||||y||
Crescent|||||||"1_99"||||||
Crisis|Freddie Hubbard||||||""||||y||
Criss Cross|Thelonious Monk||||||"2_68"||||y||
Crosscurrent|Lennie Tristano||||||""||||y||
Cry Me A River|Arthur Hamilton||||423|1953|"3_58"||||y||
Crystal Silence|Chick Corea||||||"1_100"||||y||
Cut Of This World|||||||"3_226"||||||
Cute|Neal Hefti||||||"2_69"||||y||
Cyclic Episode|Sam Rivers||||||""||||y||
Daahoud|Clifford Brown||||765|1955|"1_101"||||y||
Dacapolypso|||||||"3_60"||||||
Dance Of The Infidels|Bud Powell||||||""||||y||
Dancing In The Dark|Arthur Schwartz||||257|1931|""||y|081,110,113,|y||
Dancing On The Ceiling|Richard Rodgers||||671|1930|"1_102"||y||y||
Danny Boy|||||649|Trad.|""||||||
Danse Norwegienne|||||||""|||||y|
Danse Nuptial|||||||""|||||y|
Daphne|||||||""|||||y|
Dark Eyes|||||397|1884|"3"|||||y|
Darktown Strutters' Ball|||||547|1917|""|||100,||y|
Darn That Dream|Jimmy Van-Heusen||||70|1939|"1_103"|1||089,|y||
Dat Dere|Bobby Timmons||||||""||||y||
Davenport Blues|||||757|1927|""||||||
Day By Day|Cahn-Stordahl-Weston||||695|1945|"2"|2||i,059,|y||
Day Dream|Strayhorn-Ellington||||237|1941|"3_59"|3|||y||
Day Dreaming|Jerome Kern||||||""||||y||
Day In Vienna, A|||||||"2_71"||||||
Day In, Day Out|Rube Bloom||||503|1939|"3_62"||y||y||
Day Waves|||||||"1_106"||||||
Daybreak|Adamson-Grofe||||||""||||y||
Days And Nights Waiting|Keith Jarrett||||||"1_104"||||y||
Days Of Wine And Roses|Henry Mancini||||135|1962|"1_105"||y|040,107,|y||
De Pois De Amor O'vazio|||||||"1_110"||||||
Dear Lord|John Coltrane||||||""||||y||
Dear Old Southland|||||589|1921|""||||||
Dear Old Stockholm|Traditional||||430|Trad.|"1_108"|||i,091,|y||
Dearly Beloved|Jerome Kern||||595|1942|"1_107"|||055,|y||
Decision|||||||"2_408"||||||
Dedicated To You|Cahn-Chaplin-Zaret||||573|1936|"1"||y||y||
Deed I Do|Hirsch-Rose||||338|1926|"3"||||y||
